time,sinkhorn_div
0,10.80068094438053
1,8.385819008851714
2,7.391968683597565
3,6.996866342216339
4,6.302512246240674
5,6.094782189223995
6,5.079324715554228
7,4.777677310705433
8,4.179613572652287
9,3.645953948432673
10,3.1137388651682056
11,2.6371424355777413
12,2.6191410801465396
13,2.3841643954118106
14,2.314487016003182
15,2.570850072607346
16,2.561021238567402
17,2.4767398229227995
18,2.221350958681343
19,2.2419299466216787
20,2.380842251047166
21,2.428777493622129
22,2.515336962019447
23,2.208155306951742
24,2.1303239214315246
25,2.392736960607808
26,2.4378064280858416
27,2.474770652856689
28,2.5382848869337593
29,2.370715040352018
30,2.3287507310785283
31,2.355187850068981
32,2.3305149995803593
33,2.2701805879794175
34,2.718966683708706
35,3.211110354038077
36,2.7172559820564355
37,2.304445726029912
38,2.2543291194383217
39,2.574744672986624
40,2.55197176527231
41,2.634361377468161
42,2.571435375810128
43,2.5588239027568553
44,3.0105963172678725
45,2.725716445952842
46,2.514786290214184
47,2.286191109325858
48,2.3042200681305354
49,2.290530518460681
50,2.3497191646860838
51,2.292431016090014
52,2.2518414273645826
53,2.3252247404361532
54,2.1679276196126556
55,2.1506417359130787
56,2.18848582261121
57,2.499958037977916
58,2.189038634731727
59,2.245780485117636
60,2.183581957844948
61,2.268415744843762
62,2.351386789239721
63,2.454255444961574
64,2.3783607797123887
65,2.377631185544528
66,2.4980372353398352
67,2.384575463663656
68,2.195631988192849
69,2.208927386532796
70,2.2022216243381676
71,2.3584019757672734
72,2.1448753094833277
73,2.3398781902854546
74,2.185387817813032
75,2.2250123098654386
76,2.4799355241638863
77,2.83319968488046
78,2.350429730995828
79,2.295702472795073
80,2.308493055287326
81,2.320980399749582
82,2.195987258332189
83,2.1827689098901777
84,2.1251211692820857
85,2.0737719153314877
86,2.1813481612101815
87,2.277338410726213
88,2.1876860403241256
89,2.4694999811111082
90,2.639263185647929
91,2.3439325897301257
92,2.315687817585083
93,2.5241414791784513
94,2.455776846548551
95,2.467553440276692
96,2.4241740481711322
97,2.3201336004988633
98,2.2108052891537717
99,2.4696031858640537
